seed,held_out_category,feature_set,mode,heldout_accuracy
456,Sexual_orientation,signals+embedding+primary,"signals,embedding,primary",0.9282407407407407
456,Sexual_orientation,signals+embedding,"signals,embedding",0.9305555555555556
456,Sexual_orientation,embedding_only,embedding,0.9340277777777778
456,Sexual_orientation,signals_only,signals,0.8252314814814815
789,Age,signals+embedding+primary,"signals,embedding,primary",0.955
789,Age,signals+embedding,"signals,embedding",0.953
789,Age,embedding_only,embedding,0.91
789,Age,signals_only,signals,0.868
789,Disability_status,signals+embedding+primary,"signals,embedding,primary",0.931
789,Disability_status,signals+embedding,"signals,embedding",0.927
789,Disability_status,embedding_only,embedding,0.907
789,Disability_status,signals_only,signals,0.824
789,Gender_identity,signals+embedding+primary,"signals,embedding,primary",0.938
789,Gender_identity,signals+embedding,"signals,embedding",0.939
789,Gender_identity,embedding_only,embedding,0.853
789,Gender_identity,signals_only,signals,0.751
789,Nationality,signals+embedding+primary,"signals,embedding,primary",0.883
789,Nationality,signals+embedding,"signals,embedding",0.889
789,Nationality,embedding_only,embedding,0.855
789,Nationality,signals_only,signals,0.799
789,Physical_appearance,signals+embedding+primary,"signals,embedding,primary",0.889
789,Physical_appearance,signals+embedding,"signals,embedding",0.891
789,Physical_appearance,embedding_only,embedding,0.906
789,Physical_appearance,signals_only,signals,0.671
789,Race_ethnicity,signals+embedding+primary,"signals,embedding,primary",0.91
789,Race_ethnicity,signals+embedding,"signals,embedding",0.908
789,Race_ethnicity,embedding_only,embedding,0.85
789,Race_ethnicity,signals_only,signals,0.909
789,Religion,signals+embedding+primary,"signals,embedding,primary",0.939
789,Religion,signals+embedding,"signals,embedding",0.944
789,Religion,embedding_only,embedding,0.881
789,Religion,signals_only,signals,0.814
789,SES,signals+embedding+primary,"signals,embedding,primary",0.968
789,SES,signals+embedding,"signals,embedding",0.964
789,SES,embedding_only,embedding,0.915
789,SES,signals_only,signals,0.859
789,Sexual_orientation,signals+embedding+primary,"signals,embedding,primary",0.9328703703703703
789,Sexual_orientation,signals+embedding,"signals,embedding",0.9363425925925926
789,Sexual_orientation,embedding_only,embedding,0.9363425925925926
789,Sexual_orientation,signals_only,signals,0.8275462962962963
999,Age,signals+embedding+primary,"signals,embedding,primary",0.951
999,Age,signals+embedding,"signals,embedding",0.958
999,Age,embedding_only,embedding,0.906
999,Age,signals_only,signals,0.865
999,Disability_status,signals+embedding+primary,"signals,embedding,primary",0.93
999,Disability_status,signals+embedding,"signals,embedding",0.921
999,Disability_status,embedding_only,embedding,0.924
999,Disability_status,signals_only,signals,0.824
999,Gender_identity,signals+embedding+primary,"signals,embedding,primary",0.945
999,Gender_identity,signals+embedding,"signals,embedding",0.946
999,Gender_identity,embedding_only,embedding,0.853
999,Gender_identity,signals_only,signals,0.754
999,Nationality,signals+embedding+primary,"signals,embedding,primary",0.881
999,Nationality,signals+embedding,"signals,embedding",0.881
999,Nationality,embedding_only,embedding,0.841
999,Nationality,signals_only,signals,0.797
999,Physical_appearance,signals+embedding+primary,"signals,embedding,primary",0.898
999,Physical_appearance,signals+embedding,"signals,embedding",0.899
999,Physical_appearance,embedding_only,embedding,0.908
999,Physical_appearance,signals_only,signals,0.67
999,Race_ethnicity,signals+embedding+primary,"signals,embedding,primary",0.907
999,Race_ethnicity,signals+embedding,"signals,embedding",0.906
999,Race_ethnicity,embedding_only,embedding,0.842
999,Race_ethnicity,signals_only,signals,0.905
999,Religion,signals+embedding+primary,"signals,embedding,primary",0.94
999,Religion,signals+embedding,"signals,embedding",0.941
999,Religion,embedding_only,embedding,0.878
999,Religion,signals_only,signals,0.814
999,SES,signals+embedding+primary,"signals,embedding,primary",0.97
999,SES,signals+embedding,"signals,embedding",0.97
999,SES,embedding_only,embedding,0.916
999,SES,signals_only,signals,0.861
999,Sexual_orientation,signals+embedding+primary,"signals,embedding,primary",0.9386574074074074
999,Sexual_orientation,signals+embedding,"signals,embedding",0.9386574074074074
999,Sexual_orientation,embedding_only,embedding,0.9409722222222222
999,Sexual_orientation,signals_only,signals,0.8263888888888888
