seed,held_out_category,variant,n_ambig,unknown_correct,unknown_pred,non_unknown_residual,stereo,anti,invalid,missing,bias_score_amb,bias_abs_amb
123,Religion,ours_predicted_condition,500,463,463,37,30,7,0,0,0.6216216216216217,0.6216216216216217
123,SES,ours_single_tau,500,455,455,45,26,19,0,0,0.15555555555555545,0.15555555555555545
123,SES,ours_per_condition_oracle,500,494,494,6,6,0,0,0,1.0,1.0
123,SES,ours_predicted_condition,500,494,494,6,6,0,0,0,1.0,1.0
123,Sexual_orientation,ours_single_tau,432,374,374,58,33,25,0,0,0.13793103448275867,0.13793103448275867
123,Sexual_orientation,ours_per_condition_oracle,432,410,410,22,14,8,0,0,0.2727272727272727,0.2727272727272727
123,Sexual_orientation,ours_predicted_condition,432,398,398,34,21,13,0,0,0.23529411764705888,0.23529411764705888
456,Age,ours_single_tau,500,385,385,115,104,11,0,0,0.808695652173913,0.808695652173913
456,Age,ours_per_condition_oracle,500,481,481,19,16,3,0,0,0.6842105263157894,0.6842105263157894
456,Age,ours_predicted_condition,500,473,473,27,21,6,0,0,0.5555555555555556,0.5555555555555556
456,Disability_status,ours_single_tau,500,415,415,85,55,30,0,0,0.2941176470588236,0.2941176470588236
456,Disability_status,ours_per_condition_oracle,500,461,461,39,27,12,0,0,0.3846153846153846,0.3846153846153846
456,Disability_status,ours_predicted_condition,500,461,461,39,27,12,0,0,0.3846153846153846,0.3846153846153846
456,Gender_identity,ours_single_tau,500,419,419,81,58,23,0,0,0.4320987654320987,0.4320987654320987
456,Gender_identity,ours_per_condition_oracle,500,476,476,24,15,9,0,0,0.25,0.25
456,Gender_identity,ours_predicted_condition,500,474,474,26,17,9,0,0,0.3076923076923077,0.3076923076923077
456,Nationality,ours_single_tau,500,403,403,97,40,57,0,0,-0.17525773195876293,0.17525773195876293
456,Nationality,ours_per_condition_oracle,500,450,450,50,13,37,0,0,-0.48,0.48
456,Nationality,ours_predicted_condition,500,427,427,73,27,46,0,0,-0.26027397260273977,0.26027397260273977
456,Physical_appearance,ours_single_tau,500,436,436,64,60,4,0,0,0.875,0.875
456,Physical_appearance,ours_per_condition_oracle,500,489,489,11,11,0,0,0,1.0,1.0
456,Physical_appearance,ours_predicted_condition,500,449,449,51,49,2,0,0,0.9215686274509804,0.9215686274509804
456,Race_ethnicity,ours_single_tau,500,440,440,60,27,33,0,0,-0.09999999999999998,0.09999999999999998
456,Race_ethnicity,ours_per_condition_oracle,500,493,493,7,4,3,0,0,0.1428571428571428,0.1428571428571428
456,Race_ethnicity,ours_predicted_condition,500,472,472,28,21,7,0,0,0.5,0.5
456,Religion,ours_single_tau,500,423,423,77,53,24,0,0,0.37662337662337664,0.37662337662337664
456,Religion,ours_per_condition_oracle,500,456,456,44,33,11,0,0,0.5,0.5
456,Religion,ours_predicted_condition,500,452,452,48,36,12,0,0,0.5,0.5
456,SES,ours_single_tau,500,441,441,59,46,13,0,0,0.5593220338983051,0.5593220338983051
456,SES,ours_per_condition_oracle,500,490,490,10,9,1,0,0,0.8,0.8
456,SES,ours_predicted_condition,500,490,490,10,9,1,0,0,0.8,0.8
456,Sexual_orientation,ours_single_tau,432,348,348,84,50,34,0,0,0.19047619047619047,0.19047619047619047
456,Sexual_orientation,ours_per_condition_oracle,432,389,389,43,26,17,0,0,0.20930232558139528,0.20930232558139528
456,Sexual_orientation,ours_predicted_condition,432,378,378,54,32,22,0,0,0.18518518518518512,0.18518518518518512
789,Age,ours_single_tau,500,377,377,123,109,14,0,0,0.7723577235772359,0.7723577235772359
789,Age,ours_per_condition_oracle,500,469,469,31,29,2,0,0,0.8709677419354838,0.8709677419354838
789,Age,ours_predicted_condition,500,467,467,33,30,3,0,0,0.8181818181818181,0.8181818181818181
789,Disability_status,ours_single_tau,500,388,388,112,69,43,0,0,0.2321428571428572,0.2321428571428572
789,Disability_status,ours_per_condition_oracle,500,489,489,11,5,6,0,0,-0.09090909090909094,0.09090909090909094
789,Disability_status,ours_predicted_condition,500,489,489,11,5,6,0,0,-0.09090909090909094,0.09090909090909094
789,Gender_identity,ours_single_tau,500,449,449,51,34,17,0,0,0.33333333333333326,0.33333333333333326
789,Gender_identity,ours_per_condition_oracle,500,480,480,20,15,5,0,0,0.5,0.5
789,Gender_identity,ours_predicted_condition,500,480,480,20,15,5,0,0,0.5,0.5
789,Nationality,ours_single_tau,500,387,387,113,47,66,0,0,-0.16814159292035402,0.16814159292035402
789,Nationality,ours_per_condition_oracle,500,440,440,60,16,44,0,0,-0.4666666666666667,0.4666666666666667
789,Nationality,ours_predicted_condition,500,423,423,77,29,48,0,0,-0.24675324675324672,0.24675324675324672
789,Physical_appearance,ours_single_tau,500,463,463,37,37,0,0,0,1.0,1.0
789,Physical_appearance,ours_per_condition_oracle,500,488,488,12,12,0,0,0,1.0,1.0
789,Physical_appearance,ours_predicted_condition,500,450,450,50,48,2,0,0,0.9199999999999999,0.9199999999999999
789,Race_ethnicity,ours_single_tau,500,452,452,48,22,26,0,0,-0.08333333333333337,0.08333333333333337
789,Race_ethnicity,ours_per_condition_oracle,500,481,481,19,9,10,0,0,-0.052631578947368474,0.052631578947368474
789,Race_ethnicity,ours_predicted_condition,500,462,462,38,24,14,0,0,0.26315789473684204,0.26315789473684204
789,Religion,ours_single_tau,500,416,416,84,55,29,0,0,0.30952380952380953,0.30952380952380953
789,Religion,ours_per_condition_oracle,500,456,456,44,33,11,0,0,0.5,0.5
789,Religion,ours_predicted_condition,500,454,454,46,35,11,0,0,0.5217391304347827,0.5217391304347827
789,SES,ours_single_tau,500,444,444,56,46,10,0,0,0.6428571428571428,0.6428571428571428
789,SES,ours_per_condition_oracle,500,497,497,3,3,0,0,0,1.0,1.0
789,SES,ours_predicted_condition,500,495,495,5,5,0,0,0,1.0,1.0
789,Sexual_orientation,ours_single_tau,432,362,362,70,43,27,0,0,0.22857142857142865,0.22857142857142865
789,Sexual_orientation,ours_per_condition_oracle,432,407,407,25,15,10,0,0,0.19999999999999996,0.19999999999999996
789,Sexual_orientation,ours_predicted_condition,432,395,395,37,22,15,0,0,0.18918918918918926,0.18918918918918926
999,Age,ours_single_tau,500,383,383,117,102,15,0,0,0.7435897435897436,0.7435897435897436
999,Age,ours_per_condition_oracle,500,450,450,50,47,3,0,0,0.8799999999999999,0.8799999999999999
999,Age,ours_predicted_condition,500,439,439,61,55,6,0,0,0.8032786885245902,0.8032786885245902
999,Disability_status,ours_single_tau,500,397,397,103,66,37,0,0,0.2815533980582525,0.2815533980582525
999,Disability_status,ours_per_condition_oracle,500,476,476,24,10,14,0,0,-0.16666666666666663,0.16666666666666663
999,Disability_status,ours_predicted_condition,500,476,476,24,10,14,0,0,-0.16666666666666663,0.16666666666666663
999,Gender_identity,ours_single_tau,500,409,409,91,61,30,0,0,0.34065934065934056,0.34065934065934056
999,Gender_identity,ours_per_condition_oracle,500,476,476,24,17,7,0,0,0.41666666666666674,0.41666666666666674
999,Gender_identity,ours_predicted_condition,500,475,475,25,18,7,0,0,0.43999999999999995,0.43999999999999995
999,Nationality,ours_single_tau,500,391,391,109,46,63,0,0,-0.15596330275229353,0.15596330275229353
999,Nationality,ours_per_condition_oracle,500,451,451,49,11,38,0,0,-0.5510204081632653,0.5510204081632653
999,Nationality,ours_predicted_condition,500,422,422,78,30,48,0,0,-0.23076923076923073,0.23076923076923073
999,Physical_appearance,ours_single_tau,500,388,388,112,94,18,0,0,0.6785714285714286,0.6785714285714286
999,Physical_appearance,ours_per_condition_oracle,500,484,484,16,16,0,0,0,1.0,1.0
999,Physical_appearance,ours_predicted_condition,500,444,444,56,53,3,0,0,0.8928571428571428,0.8928571428571428
999,Race_ethnicity,ours_single_tau,500,436,436,64,32,32,0,0,0.0,0.0
999,Race_ethnicity,ours_per_condition_oracle,500,483,483,17,12,5,0,0,0.41176470588235303,0.41176470588235303
999,Race_ethnicity,ours_predicted_condition,500,470,470,30,21,9,0,0,0.3999999999999999,0.3999999999999999
999,Religion,ours_single_tau,500,430,430,70,44,26,0,0,0.2571428571428571,0.2571428571428571
999,Religion,ours_per_condition_oracle,500,468,468,32,27,5,0,0,0.6875,0.6875
999,Religion,ours_predicted_condition,500,465,465,35,29,6,0,0,0.6571428571428573,0.6571428571428573
999,SES,ours_single_tau,500,454,454,46,35,11,0,0,0.5217391304347827,0.5217391304347827
999,SES,ours_per_condition_oracle,500,486,486,14,13,1,0,0,0.8571428571428572,0.8571428571428572
999,SES,ours_predicted_condition,500,485,485,15,14,1,0,0,0.8666666666666667,0.8666666666666667
999,Sexual_orientation,ours_single_tau,432,380,380,52,29,23,0,0,0.11538461538461542,0.11538461538461542
999,Sexual_orientation,ours_per_condition_oracle,432,398,398,34,18,16,0,0,0.05882352941176472,0.05882352941176472
999,Sexual_orientation,ours_predicted_condition,432,387,387,45,24,21,0,0,0.06666666666666665,0.06666666666666665
